Year,Month,Day,HadGEM2-ES
1982,11,11,9.97
1982,11,12,8.81
1982,11,13,8.24
1982,11,14,7.95
1982,11,15,7.79
1982,11,16,7.66
1982,11,17,58.61
1982,11,18,123.23
1982,11,19,63.66
1982,11,20,29.32
1982,11,21,16.36
1982,11,22,31.98
1982,11,23,172.39
1982,11,24,185.76
1982,11,25,83.77
1982,11,26,38.01
1982,11,27,48.73
1982,11,28,43.08
1982,11,29,25.26
1982,11,30,186.03
1982,12,1,153.22
1982,12,2,73.81
1982,12,3,38.72
1982,12,4,26.49
1982,12,5,66.81
1982,12,6,133.01
1982,12,7,71.14
1982,12,8,40.11
1982,12,9,28.38
1982,12,10,24.45
1982,12,11,23.06
1982,12,12,42.71
1982,12,13,34.63
1982,12,14,70.44
1982,12,15,55.37
1982,12,16,31.24
1982,12,17,24.77
1982,12,18,22.71
1982,12,19,21.90
1982,12,20,21.42
1982,12,21,21.04
1982,12,22,81.41
1982,12,23,44.15
1982,12,24,28.73
1982,12,25,23.20
1982,12,26,21.32
1982,12,27,20.56
1982,12,28,20.12
1982,12,29,19.75
1982,12,30,19.42
1982,12,31,19.10
1983,1,1,18.79
1983,1,2,18.48
1983,1,3,18.16
1983,1,4,17.86
1983,1,5,17.56
1983,1,6,17.26
1983,1,7,39.38
1983,1,8,30.93
1983,1,9,21.46
1983,1,10,18.00
1983,1,11,16.82
1983,1,12,16.32
1983,1,13,16.00
1983,1,14,15.71
1983,1,15,15.44
1983,1,16,15.17
1983,1,17,14.93
1983,1,18,14.67
1983,1,19,121.64
1983,1,20,80.01
1983,1,21,39.50
1983,1,22,34.70
1983,1,23,21.52
1983,1,24,17.76
1983,1,25,16.59
1983,1,26,19.07
1983,1,27,71.89
1983,1,28,143.38
1983,1,29,164.40
1983,1,30,84.07
1983,1,31,43.20
1983,2,1,27.65
1983,2,2,22.55
1983,2,3,20.88
1983,2,4,20.20
1983,2,5,19.79
1983,2,6,19.44
1983,2,7,19.11
1983,2,8,18.78
1983,2,9,20.41
1983,2,10,29.32
1983,2,11,25.13
1983,2,12,20.80
1983,2,13,18.61
1983,2,14,17.63
1983,2,15,80.86
1983,2,16,57.85
1983,2,17,61.63
1983,2,18,89.45
1983,2,19,95.19
1983,2,20,43.23
1983,2,21,26.68
1983,2,22,21.73
1983,2,23,20.17
1983,2,24,19.54
1983,2,25,19.16
1983,2,26,18.82
1983,2,27,18.50
1983,2,28,18.17
1983,3,1,17.85
1983,3,2,146.62
1983,3,3,159.21
1983,3,4,140.65
1983,3,5,105.68
1983,3,6,79.69
1983,3,7,51.33
1983,3,8,34.02
1983,3,9,27.07
1983,3,10,24.57
1983,3,11,23.58
1983,3,12,23.02
1983,3,13,22.58
1983,3,14,22.18
1983,3,15,21.82
1983,3,16,21.46
1983,3,17,21.07
1983,3,18,22.32
1983,3,19,21.09
1983,3,20,20.29
1983,3,21,19.81
1983,3,22,19.42
1983,3,23,19.05
1983,3,24,18.72
1983,3,25,18.42
1983,3,26,18.10
1983,3,27,17.79
1983,3,28,18.20
1983,3,29,50.74
1983,3,30,40.62
1983,3,31,27.59
1983,4,1,20.94
1983,4,2,18.27
1983,4,3,17.23
1983,4,4,16.72
1983,4,5,16.37
1983,4,6,16.03
1983,4,7,46.23
1983,4,8,31.64
1983,4,9,60.52
1983,4,10,100.40
1983,4,11,50.61
1983,4,12,28.85
1983,4,13,20.84
1983,4,14,18.63
1983,4,15,22.76
1983,4,16,105.39
1983,4,17,54.49
1983,4,18,30.66
1983,4,19,21.86
1983,4,20,18.99
1983,4,21,18.00
1983,4,22,17.52
1983,4,23,17.14
1983,4,24,16.76
1983,4,25,16.50
1983,4,26,16.27
1983,4,27,16.00
1983,4,28,15.69
1983,4,29,15.40
1983,4,30,15.13
1983,5,1,14.87
1983,5,2,14.62
1983,5,3,14.39
1983,5,4,14.15
1983,5,5,13.88
1983,5,6,13.62
1983,5,7,13.33
1983,5,8,13.06
1983,5,9,12.83
1983,5,10,12.69
1983,5,11,12.54
1983,5,12,12.33
1983,5,13,12.16
1983,5,14,11.97
1983,5,15,11.74
1983,5,16,11.50
1983,5,17,11.22
1983,5,18,11.00
1983,5,19,10.80
1983,5,20,10.65
1983,5,21,10.58
1983,5,22,10.43
1983,5,23,10.22
1983,5,24,10.00
1983,5,25,9.84
1983,5,26,9.69
1983,5,27,9.51
1983,5,28,9.26
1983,5,29,9.06
1983,5,30,8.92
1983,5,31,8.87
1983,6,1,8.74
1983,6,2,8.55
1983,6,3,8.38
1983,6,4,8.26
1983,6,5,8.14
1983,6,6,7.98
1983,6,7,7.79
1983,6,8,7.65
1983,6,9,7.57
1983,6,10,7.43
1983,6,11,7.29
1983,6,12,7.13
1983,6,13,7.03
